occurrence_id,decision_id,record_kind,source_term_or_construction,chosen_rendering,confidence,provisional,review_priority,please_double_check_question,unit_id,semantic_unit_id,part,chapter,section,source_path,source_line_start,source_line_end,source_byte_start,source_byte_end_exclusive,target_path,target_line_start,target_line_end,target_byte_start,target_byte_end_exclusive,target_printed_pages,reader_status,reader_artifact,reader_artifact_sha256,reader_profile,reader_printed_page,reader_assembled_pdf_page
pnb-Arab-PK:PNB-T001:OLP-0057-B009,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0057,OLP-0057-B009,propositional-logic,syntax-and-semantics,introduction,upstream/content/propositional-logic/syntax-and-semantics/introduction.tex,64,76,3330,4131,translation/content/propositional-logic/syntax-and-semantics/introduction.tex,63,75,4996,6344,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0058-B006,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0058,OLP-0058-B006,propositional-logic,syntax-and-semantics,formulas,upstream/content/propositional-logic/syntax-and-semantics/formulas.tex,13,18,236,532,translation/content/propositional-logic/syntax-and-semantics/formulas.tex,13,18,235,552,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0058-B007,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0058,OLP-0058-B007,propositional-logic,syntax-and-semantics,formulas,upstream/content/propositional-logic/syntax-and-semantics/formulas.tex,20,33,533,1168,translation/content/propositional-logic/syntax-and-semantics/formulas.tex,20,33,553,1237,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0058-B008,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0058,OLP-0058-B008,propositional-logic,syntax-and-semantics,formulas,upstream/content/propositional-logic/syntax-and-semantics/formulas.tex,35,35,1169,1232,translation/content/propositional-logic/syntax-and-semantics/formulas.tex,35,35,1238,1341,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0058-B012,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0058,OLP-0058-B012,propositional-logic,syntax-and-semantics,formulas,upstream/content/propositional-logic/syntax-and-semantics/formulas.tex,63,76,2378,3139,translation/content/propositional-logic/syntax-and-semantics/formulas.tex,64,77,3181,4265,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0058-B013,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0058,OLP-0058-B013,propositional-logic,syntax-and-semantics,formulas,upstream/content/propositional-logic/syntax-and-semantics/formulas.tex,78,83,3140,3363,translation/content/propositional-logic/syntax-and-semantics/formulas.tex,79,84,4266,4550,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0062-B007,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0062,OLP-0062-B007,propositional-logic,syntax-and-semantics,semantic-notions,upstream/content/propositional-logic/syntax-and-semantics/semantic-notions.tex,15,32,268,1080,translation/content/propositional-logic/syntax-and-semantics/semantic-notions.tex,15,34,306,1502,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0064-B006,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0064,OLP-0064-B006,first-order-logic,proof-systems,introduction,upstream/content/first-order-logic/proof-systems/introduction.tex,15,24,261,895,translation/content/first-order-logic/proof-systems/introduction.tex,15,23,259,1223,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0064-B007,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0064,OLP-0064-B007,first-order-logic,proof-systems,introduction,upstream/content/first-order-logic/proof-systems/introduction.tex,26,36,896,1609,translation/content/first-order-logic/proof-systems/introduction.tex,25,35,1224,2395,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0064-B009,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0064,OLP-0064-B009,first-order-logic,proof-systems,introduction,upstream/content/first-order-logic/proof-systems/introduction.tex,50,71,2304,3557,translation/content/first-order-logic/proof-systems/introduction.tex,48,69,3509,5446,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0064-B010,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0064,OLP-0064-B010,first-order-logic,proof-systems,introduction,upstream/content/first-order-logic/proof-systems/introduction.tex,73,80,3558,4051,translation/content/first-order-logic/proof-systems/introduction.tex,71,78,5447,6248,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0064-B011,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0064,OLP-0064-B011,first-order-logic,proof-systems,introduction,upstream/content/first-order-logic/proof-systems/introduction.tex,82,99,4052,5187,translation/content/first-order-logic/proof-systems/introduction.tex,80,95,6249,8007,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0065-B009,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0065,OLP-0065-B009,first-order-logic,proof-systems,seqeunt-calculus,upstream/content/first-order-logic/proof-systems/sequent-calculus.tex,58,65,2405,2903,translation/content/first-order-logic/proof-systems/sequent-calculus.tex,58,64,3250,4024,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0066-B006,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0066,OLP-0066-B006,first-order-logic,proof-systems,natural-deduction,upstream/content/first-order-logic/proof-systems/natural-deduction.tex,15,31,271,1369,translation/content/first-order-logic/proof-systems/natural-deduction.tex,15,29,277,1932,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0066-B007,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0066,OLP-0066-B007,first-order-logic,proof-systems,natural-deduction,upstream/content/first-order-logic/proof-systems/natural-deduction.tex,33,58,1370,3102,translation/content/first-order-logic/proof-systems/natural-deduction.tex,31,55,1933,4631,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0066-B010,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0066,OLP-0066-B010,first-order-logic,proof-systems,natural-deduction,upstream/content/first-order-logic/proof-systems/natural-deduction.tex,81,88,4029,4518,translation/content/first-order-logic/proof-systems/natural-deduction.tex,79,85,5921,6696,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0067-B010,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0067,OLP-0067-B010,first-order-logic,proof-systems,tableaux,upstream/content/first-order-logic/proof-systems/tableaux.tex,72,87,2843,3898,translation/content/first-order-logic/proof-systems/tableaux.tex,71,86,3819,5520,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0068-B006,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0068,OLP-0068-B006,first-order-logic,proof-systems,axiomatic-deduction,upstream/content/first-order-logic/proof-systems/axiomatic-deduction.tex,15,36,290,1387,translation/content/first-order-logic/proof-systems/axiomatic-deduction.tex,15,37,293,2104,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0068-B010,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0068,OLP-0068-B010,first-order-logic,proof-systems,axiomatic-deduction,upstream/content/first-order-logic/proof-systems/axiomatic-deduction.tex,70,81,3173,3921,translation/content/first-order-logic/proof-systems/axiomatic-deduction.tex,72,82,4631,5818,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0069-B005,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0069,OLP-0069-B005,first-order-logic,sequent-calculus,,upstream/content/first-order-logic/sequent-calculus/sequent-calculus.tex,12,17,250,535,translation/content/first-order-logic/sequent-calculus/sequent-calculus.tex,12,17,256,662,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0070-B011,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0070,OLP-0070-B011,first-order-logic,sequent-calculus,rules-and-proofs,upstream/content/first-order-logic/sequent-calculus/rules-and-proofs.tex,63,72,2164,2794,translation/content/first-order-logic/sequent-calculus/rules-and-proofs.tex,67,76,3141,4174,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0001-B002,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0001,OLP-0001-B002,,,,upstream/content/open-logic-about.tex,5,9,103,422,translation/content/open-logic-about.tex,5,9,129,732,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0001-B003,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0001,OLP-0001-B003,,,,upstream/content/open-logic-about.tex,11,19,423,1023,translation/content/open-logic-about.tex,11,17,733,1633,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0007-B005,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0007,OLP-0007-B005,sets-functions-relations,sets,important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,12,27,215,916,translation/content/sets-functions-relations/sets/important-sets.tex,12,26,216,1103,Naskh 4; Nastaliq 5,available,OpenLogic-Sets-pnb-Arab-PK-naskh-v0.1.0.pdf,b2fcb323e4b49630320e2fb7a40ee52c8f6646e6e772566e62338aac427708dc,Naskh,4,5
pnb-Arab-PK:PNB-T002:OLP-0009-B018,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0009,OLP-0009-B018,sets-functions-relations,sets,pairs-and-products,upstream/content/sets-functions-relations/sets/pairs-and-products.tex,110,113,3768,3907,translation/content/sets-functions-relations/sets/pairs-and-products.tex,113,116,5438,5647,Naskh 10; Nastaliq 13,available,OpenLogic-Sets-pnb-Arab-PK-naskh-v0.1.0.pdf,b2fcb323e4b49630320e2fb7a40ee52c8f6646e6e772566e62338aac427708dc,Naskh,10,11
pnb-Arab-PK:PNB-T002:OLP-0017-B005,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0017,OLP-0017-B005,sets-functions-relations,relations,graphs,upstream/content/sets-functions-relations/relations/graphs.tex,12,22,199,936,translation/content/sets-functions-relations/relations/graphs.tex,12,22,201,1496,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0018-B005,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0018,OLP-0018-B005,sets-functions-relations,relations,trees,upstream/content/sets-functions-relations/relations/trees.tex,12,20,197,695,translation/content/sets-functions-relations/relations/trees.tex,12,19,200,953,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0021-B007,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0021,OLP-0021-B007,sets-functions-relations,functions,basics,upstream/content/sets-functions-relations/functions/function-basics.tex,23,26,716,905,translation/content/sets-functions-relations/functions/function-basics.tex,23,26,1020,1289,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0023-B006,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0023,OLP-0023-B006,sets-functions-relations,functions,functions-relations,upstream/content/sets-functions-relations/functions/functions-relations.tex,14,22,230,711,translation/content/sets-functions-relations/functions/functions-relations.tex,14,22,248,1008,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0029-B006,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0029,OLP-0029-B006,sets-functions-relations,size-of-sets,enumerations,upstream/content/sets-functions-relations/size-of-sets/enumerability.tex,13,19,248,610,translation/content/sets-functions-relations/size-of-sets/enumerability.tex,13,20,269,1003,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0029-B024,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0029,OLP-0029-B024,sets-functions-relations,size-of-sets,enumerations,upstream/content/sets-functions-relations/size-of-sets/enumerability.tex,186,192,7612,8025,translation/content/sets-functions-relations/size-of-sets/enumerability.tex,190,195,11662,12285,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0044-B010,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0044,OLP-0044-B010,sets-functions-relations,arithmetization,reals,upstream/content/sets-functions-relations/arithmetization/reals.tex,72,72,3055,3321,translation/content/sets-functions-relations/arithmetization/reals.tex,75,78,4514,4883,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0046-B006,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0046,OLP-0046-B006,sets-functions-relations,arithmetization,reflections,upstream/content/sets-functions-relations/arithmetization/reflections.tex,14,21,309,810,translation/content/sets-functions-relations/arithmetization/reflections.tex,14,20,339,1081,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0046-B008,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0046,OLP-0046-B008,sets-functions-relations,arithmetization,reflections,upstream/content/sets-functions-relations/arithmetization/reflections.tex,25,34,889,1522,translation/content/sets-functions-relations/arithmetization/reflections.tex,24,31,1231,2137,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0046-B009,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0046,OLP-0046-B009,sets-functions-relations,arithmetization,reflections,upstream/content/sets-functions-relations/arithmetization/reflections.tex,36,60,1524,2722,translation/content/sets-functions-relations/arithmetization/reflections.tex,33,57,2138,4171,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0053-B007,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0053,OLP-0053-B007,sets-functions-relations,infinite,dedekinds-proof,upstream/content/sets-functions-relations/infinite/dedekinds-proof.tex,28,40,1022,1896,translation/content/sets-functions-relations/infinite/dedekinds-proof.tex,26,37,1417,2702,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0053-B010,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0053,OLP-0053-B010,sets-functions-relations,infinite,dedekinds-proof,upstream/content/sets-functions-relations/infinite/dedekinds-proof.tex,73,86,3651,4391,translation/content/sets-functions-relations/infinite/dedekinds-proof.tex,67,79,5349,6487,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0053-B011,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0053,OLP-0053-B011,sets-functions-relations,infinite,dedekinds-proof,upstream/content/sets-functions-relations/infinite/dedekinds-proof.tex,88,90,4393,4580,translation/content/sets-functions-relations/infinite/dedekinds-proof.tex,81,83,6488,6762,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0059-B023,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0059,OLP-0059-B023,propositional-logic,propositional-logic,preliminaries,upstream/content/propositional-logic/syntax-and-semantics/preliminaries.tex,114,117,4031,4134,translation/content/propositional-logic/syntax-and-semantics/preliminaries.tex,116,118,5361,5488,,pending,,,,,
pnb-Arab-PK:PNB-T002:OLP-0066-B006,pnb-Arab-PK:PNB-T002,terminology,mathematics,ریاضی,high,false,normal,Is ریاضی the clearest disciplinary label for this Shahmukhi audience in the cited native institutional usage?,OLP-0066,OLP-0066-B006,first-order-logic,proof-systems,natural-deduction,upstream/content/first-order-logic/proof-systems/natural-deduction.tex,15,31,271,1369,translation/content/first-order-logic/proof-systems/natural-deduction.tex,15,29,277,1932,,pending,,,,,
pnb-Arab-PK:PNB-T003:OLP-0003-B004,pnb-Arab-PK:PNB-T003,terminology,set,سیٹ,medium,true,high,Does سیٹ with oblique سیٹاں clearly distinguish a mathematical set from an ordered collection?,OLP-0003,OLP-0003-B004,sets-functions-relations-complete,,,upstream/content/sets-functions-relations/sets-functions-relations-complete.tex,7,7,118,151,translation/content/sets-functions-relations/sets-functions-relations-complete.tex,7,7,118,175,,pending,,,,,
pnb-Arab-PK:PNB-T003:OLP-0003-B005,pnb-Arab-PK:PNB-T003,terminology,set,سیٹ,medium,true,high,Does سیٹ with oblique سیٹاں clearly distinguish a mathematical set from an ordered collection?,OLP-0003,OLP-0003-B005,sets-functions-relations-complete,,,upstream/content/sets-functions-relations/sets-functions-relations-complete.tex,9,14,152,456,translation/content/sets-functions-relations/sets-functions-relations-complete.tex,9,14,176,617,,pending,,,,,
pnb-Arab-PK:PNB-T003:OLP-0004-B004,pnb-Arab-PK:PNB-T003,terminology,set,سیٹ,medium,true,high,Does سیٹ with oblique سیٹاں clearly distinguish a mathematical set from an ordered collection?,OLP-0004,OLP-0004-B004,sets-functions-relations,sets,,upstream/content/sets-functions-relations/sets/sets.tex,8,8,131,158,translation/content/sets-functions-relations/sets/sets.tex,8,8,131,160,Naskh 1; Nastaliq 1,available,OpenLogic-Sets-pnb-Arab-PK-naskh-v0.1.0.pdf,b2fcb323e4b49630320e2fb7a40ee52c8f6646e6e772566e62338aac427708dc,Naskh,1,2
